mav-ch1,mav-ch2,mav-ch3,mav-ch4,mav-ch5,mav-ch6,mav-ch7,mav-ch8,wl-ch1,wl-ch2,wl-ch3,wl-ch4,wl-ch5,wl-ch6,wl-ch7,wl-ch8,zc-ch1,zc-ch2,zc-ch3,zc-ch4,zc-ch5,zc-ch6,zc-ch7,zc-ch8,ssc-ch1,ssc-ch2,ssc-ch3,ssc-ch4,ssc-ch5,ssc-ch6,ssc-ch7,ssc-ch8,Movement
0.3912029669145466,0.3533208598986973,0.3970733001978462,0.4109118715852985,1.0,0.36933915274565404,0.33523658015479435,0.34452822996308524,0.39425756875543144,0.37355328331664966,0.39613632706603075,0.4295199321662159,1.0,0.40863180263857896,0.2665840834126417,0.24177355841752918,0.9120879120879121,0.9230769230769231,0.9340659340659341,0.8901098901098901,0.9120879120879121,0.8956043956043956,0.9560439560439561,1.0,0.7278481012658228,0.7468354430379747,0.7658227848101266,0.7088607594936709,1.0,0.740506329113924,0.7658227848101266,0.7784810126582279,3
0.024064631501824404,0.02542562912972004,0.02455469518625813,0.02557481580460623,1.0,0.021761613819152845,0.025738760224002427,0.023541319033626284,0.5611455959018857,0.5858061424086288,0.5767460523822687,0.5840248542785471,1.0,0.5671408887497738,0.5974345445709813,0.5681725004391943,0.8636363636363636,0.8636363636363636,0.8434343434343434,0.8636363636363636,1.0,0.7676767676767676,0.8636363636363636,0.8535353535353535,0.5949367088607594,0.5949367088607594,0.6075949367088608,0.620253164556962,1.0,0.6455696202531646,0.569620253164557,0.5569620253164557,2
0.024004848372955193,0.02415761723092495,0.021969986917797606,0.0240858529997166,1.0,0.020732638795036226,0.02265810163481126,0.02312015518278705,0.4758440396718738,0.44209509493775534,0.4428130983622769,0.4879513627309042,1.0,0.3943132315176725,0.3756092793495693,0.42945723872716685,0.7777777777777778,0.797979797979798,0.7676767676767676,0.797979797979798,1.0,0.8080808080808081,0.8131313131313131,0.797979797979798,0.7013888888888888,0.7847222222222222,0.7013888888888888,0.6597222222222222,1.0,0.7777777777777778,0.7013888888888888,0.7152777777777778,3
0.0217791617030762,0.019420070286697066,0.019849483402913516,0.023677563572153795,1.0,0.023148896521827316,0.023109380622475032,0.023426906597114563,0.23563316686377342,0.2076295255474444,0.20879170195740157,0.2647143433964446,1.0,0.2582331238998264,0.26279928461271684,0.2638715373474853,0.9141414141414141,0.9040404040404041,0.9343434343434344,0.9242424242424242,1.0,0.9242424242424242,0.9090909090909091,0.9040404040404041,0.83125,0.79375,0.78125,0.80625,1.0,0.80625,0.81875,0.81875,0
0.5039183496960854,0.43740078361845036,0.49998867638513045,0.5553505990493741,1.0,0.6223902153406025,0.47367680060430195,0.5391991480775553,0.6128031963139215,0.614175321381008,0.7098811673007802,0.746193833226961,1.0,0.9657323211852815,0.6050207828598931,0.5475366904733941,0.9375,0.875,0.8625,0.9375,1.0,0.85625,0.9625,1.0,0.6075949367088608,0.5886075949367089,0.5949367088607594,0.6518987341772152,1.0,0.6708860759493671,0.569620253164557,0.740506329113924,1
0.028467029244650843,0.029459535733930346,0.030217906119641556,0.028614365647470337,1.0,0.02699536484893094,0.029085243952534676,0.02731154806812876,0.6525436568784481,0.6481354285086508,0.6256809412930852,0.6537167526230364,1.0,0.657174680181102,0.6705876564417204,0.6180643026363437,0.7929292929292929,0.803030303030303,0.8080808080808081,0.8131313131313131,1.0,0.7727272727272727,0.8080808080808081,0.7626262626262627,0.6466666666666666,0.62,0.6666666666666666,0.6733333333333333,1.0,0.6466666666666666,0.7266666666666667,0.6866666666666666,2
0.4880142256057242,0.39905603604988527,0.3995805599724733,0.4852791240530209,1.0,0.4862011366962982,0.47594351219689435,0.499868058199157,0.21715417721412097,0.18758323097679455,0.1902379645621419,0.2500086660909025,1.0,0.22901825381001387,0.23711704063442698,0.24732373194705842,1.0,0.9887640449438202,0.9662921348314607,1.0,0.8932584269662921,1.0,0.9887640449438202,1.0,0.7295597484276729,0.7421383647798742,0.7421383647798742,0.779874213836478,1.0,0.779874213836478,0.7672955974842768,0.7924528301886793,0
0.10779743269686061,0.11176877359600533,0.10956250834715628,0.10746680005353906,1.0,0.09746626336152184,0.09927399697224203,0.08996755131374223,0.6366456399254017,0.5680750710898644,0.35874830722775436,0.4061910598162358,1.0,0.5929106238492273,0.27330045895816557,0.38611289245306774,0.8984771573604061,0.9441624365482234,0.9644670050761421,0.9746192893401016,1.0,0.9543147208121827,0.9644670050761421,0.9644670050761421,0.6878980891719745,0.6942675159235668,0.7133757961783439,0.6496815286624203,1.0,0.7515923566878981,0.8152866242038217,0.7006369426751592,1
1.0,0.7131426136927063,0.811107945217445,0.5963122347294564,0.867642266362546,0.4871861030464828,0.47958246495969387,0.6588549086318818,0.5490155035614239,0.9228664930458516,0.7140002445336926,0.7030004588937,0.5923128076046088,0.5025707292622276,0.45750289263026594,1.0,1.0,0.7848837209302325,0.936046511627907,0.7906976744186046,0.9593023255813954,0.877906976744186,0.8662790697674418,0.7034883720930233,0.5534591194968553,0.6855345911949685,0.6415094339622641,0.6163522012578616,1.0,0.6477987421383647,0.6477987421383647,0.610062893081761,2
0.5774849940179712,0.49006278419653626,0.4656850018986442,0.6414699723024224,1.0,0.610705493273422,0.6086100609931955,0.6289639859866979,0.31425876232270183,0.2591390119369552,0.2402078444092888,0.38504286843369123,1.0,0.3459458891180999,0.34906688944250014,0.37077854955678347,0.9560439560439561,0.978021978021978,1.0,0.9560439560439561,0.9560439560439561,0.967032967032967,0.9560439560439561,0.967032967032967,0.8301886792452831,0.8301886792452831,0.8050314465408805,0.8427672955974843,1.0,0.8176100628930818,0.8176100628930818,0.8553459119496856,0
